x & y,area,speed
"[215, 81]",11881,50
"[215, 85]",11881,35
"[216, 88]",11236,36
"[215, 91]",11236,34
"[215, 91]",11025,35
"[217, 95]",10816,38
"[218, 97]",11236,38
"[220, 99]",11449,41
"[221, 103]",11449,41
"[223, 105]",11236,44
"[224, 108]",10816,44
"[226, 108]",11025,47
"[226, 111]",10201,46
"[225, 113]",10609,44
"[224, 115]",10609,43
"[223, 116]",10201,42
"[218, 117]",9025,35
"[212, 118]",9801,29
"[204, 120]",9025,20
"[193, 121]",8281,7
"[185, 124]",9216,1
"[174, 125]",8100,-11
"[153, 128]",7225,-37
"[153, 128]",7225,-27
"[141, 129]",7056,-45
"[120, 130]",7396,-50
"[120, 130]",7396,-50
"[99, 128]",6561,-50
"[99, 128]",6561,-50
"[90, 128]",6724,-50
"[83, 127]",6724,-50
"[75, 125]",6241,-50
"[70, 124]",6561,-50
"[68, 124]",6724,-50
"[67, 123]",5776,-50
"[65, 120]",5929,-50
"[66, 120]",6084,-50
"[68, 119]",5625,-50
"[68, 118]",5625,-50
"[72, 117]",5625,-50
"[82, 116]",4624,-50
"[94, 116]",4356,-50
"[104, 115]",4624,-50
"[116, 114]",3844,-50
"[127, 113]",3249,-47
"[138, 112]",3600,-36
"[182, 109]",3136,3
"[305, 75]",3600,50
"[306, 73]",3364,50
"[308, 73]",3364,50
"[308, 71]",3600,50
"[310, 71]",3969,50
"[310, 71]",3481,50
"[313, 72]",3600,50
"[314, 72]",3600,50
"[316, 71]",3721,50
"[319, 72]",3844,50
"[321, 72]",3844,50
"[322, 71]",3721,50
"[326, 72]",3364,50
"[329, 72]",3481,50
"[332, 76]",2916,50
"[329, 76]",3481,50
"[324, 78]",3600,50
"[320, 78]",3969,50
"[313, 77]",3969,50
"[308, 78]",3721,50
"[303, 77]",3364,50
"[299, 76]",3721,50
"[299, 76]",3721,50
"[299, 78]",3249,50
"[299, 78]",3249,50
"[299, 78]",3844,50
"[297, 80]",4096,50
"[290, 79]",3721,50
"[286, 81]",4356,50
"[277, 80]",3481,50
"[270, 80]",3249,50
"[256, 81]",3249,50
"[251, 81]",3481,50
"[245, 81]",3364,50
"[238, 81]",4096,50
"[231, 80]",3721,47
"[229, 81]",3364,48
"[227, 81]",3844,46
"[227, 82]",3844,47
"[222, 81]",3969,50
"[211, 82]",3844,46
"[203, 81]",4356,34
"[202, 82]",4624,21
"[190, 81]",4356,4
"[190, 81]",4356,10
"[185, 80]",4624,2
"[180, 81]",4624,-2
"[175, 81]",4225,-7
"[170, 82]",4096,-12
"[162, 82]",4225,-27
"[160, 83]",3364,-21
"[157, 82]",4624,-34
"[156, 82]",4900,-24
"[155, 82]",4356,-25
"[154, 82]",4900,-26
"[155, 83]",5776,-37
"[156, 83]",5776,-23
"[162, 81]",6561,-27
"[298, 85]",9604,50
"[298, 84]",10000,50
"[297, 84]",9409,50
"[298, 84]",9409,50
"[297, 84]",10404,50
"[297, 84]",10404,50
"[298, 84]",9604,50
"[298, 84]",9216,50
"[298, 84]",9604,50
"[297, 82]",9801,50
"[299, 82]",10000,50
"[299, 80]",10404,50
"[299, 78]",10609,50
"[301, 78]",10000,50
"[302, 78]",9604,50
"[301, 74]",10201,50
"[303, 73]",10000,50
"[297, 73]",10609,50
"[289, 73]",10201,50
"[280, 73]",9801,50
"[271, 73]",9604,50
